Ref,Mix type,binder type,crack type,w/b [-],exposure time [year],crack width [mm],crack depth [mm],carbonation depth [mm],CO2 [%],RH [%],DOI
Guo.2022,paste,OPC,no crack,0.3,0.019178082,0,0,3.32,20,70,https://doi.org/10.3390/ma15134518
Guo.2022,paste,OPC,notch,0.3,0.019178082,0.2,10,15.5,20,70,https://doi.org/10.3390/ma15134519
Guo.2022,paste,OPC,no crack,0.3,0.038356164,0,0,5.1,20,70,https://doi.org/10.3390/ma15134520
Guo.2022,paste,OPC,notch,0.3,0.038356164,0.2,10,16.2,20,70,https://doi.org/10.3390/ma15134521
Guo.2022,paste,OPC,no crack,0.3,0.057534247,0,0,7.03,20,70,https://doi.org/10.3390/ma15134522
Guo.2022,paste,OPC,notch,0.3,0.057534247,0.2,10,16.6,20,70,https://doi.org/10.3390/ma15134523
Guo.2022,paste,OPC,no crack,0.35,0.019178082,0,0,5.15,20,70,https://doi.org/10.3390/ma15134524
Guo.2022,paste,OPC,notch,0.35,0.019178082,0.2,15,16,20,70,https://doi.org/10.3390/ma15134529
Guo.2022,paste,OPC,no crack,0.35,0.038356164,0,0,7.97,20,70,https://doi.org/10.3390/ma15134540
Guo.2022,paste,OPC,notch,0.35,0.038356164,0.1,10,13.2,20,70,https://doi.org/10.3390/ma15134541
Guo.2022,paste,OPC,notch,0.35,0.038356164,0.2,10,15.6,20,70,https://doi.org/10.3390/ma15134542
Guo.2022,paste,OPC,notch,0.35,0.038356164,0.3,10,16.2,20,70,https://doi.org/10.3390/ma15134543
Guo.2022,paste,OPC,notch,0.35,0.038356164,0.1,15,15.1,20,70,https://doi.org/10.3390/ma15134544
Guo.2022,paste,OPC,notch,0.35,0.038356164,0.2,15,16.8,20,70,https://doi.org/10.3390/ma15134545
Guo.2022,paste,OPC,notch,0.35,0.038356164,0.3,15,18.2,20,70,https://doi.org/10.3390/ma15134546
Guo.2022,paste,OPC,notch,0.35,0.038356164,0.1,20,15.6,20,70,https://doi.org/10.3390/ma15134547
Guo.2022,paste,OPC,notch,0.35,0.038356164,0.2,20,17.4,20,70,https://doi.org/10.3390/ma15134548
